line,line_name,season,valid_from,valid_to,direction,train_number,service_code,station_order,station,arrival_time,departure_time,time
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,101,Q,15,HAMMAM CHAT,05:35,05:35,05:35
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,101,Q,16,BIR EL BEY,05:36,05:37,05:37
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,101,Q,17,Borj Cedria,05:39,05:40,05:40
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,101,Q,18,Erriadh,05:44,,05:44
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,102,Q,1,Erriadh,,04:30,04:30
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,102,Q,2,Borj Cedria,04:33,04:34,04:34
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,102,Q,3,BIR EL BEY,04:36,04:37,04:37
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,102,Q,4,HAMMAM CHAT,04:38,04:38,04:38
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,102,Q,5,TAHAR SFAR,04:40,04:40,04:40
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,102,Q,6,ARRET DU STADE,04:42,04:42,04:42
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,102,Q,7,Hammam Lif,04:44,04:45,04:45
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,102,Q,8,BOU KORNINE,04:47,04:47,04:47
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,102,Q,9,LYCEE EZZAHRA,04:48,04:49,04:49
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,102,Q,10,EZ-ZAHRA,04:50,04:51,04:51
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,102,Q,11,RADES MELIANE,04:53,04:53,04:53
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,102,Q,12,Rades,04:55,04:56,04:56
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,102,Q,13,SIDI REZIG,04:59,04:59,04:59
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,102,Q,14,MEGRINE,05:01,05:01,05:01
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,102,Q,15,MEGRINE RYADH,05:02,05:03,05:03
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,102,Q,16,Jebel Jelloud,05:04,05:05,05:05
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,102,Q,17,DEPOT FARHAT HACHED,05:07,05:07,05:07
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,102,Q,18,Tunis Ville,05:11,,05:11
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,103,Q,1,Tunis Ville,,05:25,05:25
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,103,Q,2,Jebel Jelloud,05:31,05:32,05:32
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,103,Q,3,MEGRINE RYADH,05:33,05:34,05:34
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,103,Q,4,MEGRINE,05:35,05:36,05:36
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,103,Q,5,SIDI REZIG,05:37,05:38,05:38
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,103,Q,6,Rades,05:41,05:42,05:42
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,103,Q,7,RADES MELIANE,05:44,05:44,05:44
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,103,Q,8,EZ-ZAHRA,05:46,05:47,05:47
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,103,Q,9,LYCEE EZZAHRA,05:49,05:50,05:50
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,103,Q,10,BOU KORNINE,05:51,05:51,05:51
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,103,Q,11,Hammam Lif,05:53,05:54,05:54
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,103,Q,12,ARRET DU STADE,05:55,05:56,05:56
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,103,Q,13,TAHAR SFAR,05:58,05:58,05:58
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,103,Q,14,HAMMAM CHAT,06:00,06:01,06:01
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,103,Q,15,BIR EL BEY,06:02,06:02,06:02
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,103,Q,16,Borj Cedria,06:05,06:06,06:06
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,103,Q,17,Erriadh,06:10,,06:10
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,105,Q SFDF,1,Tunis Ville,,05:40,05:40
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,105,Q SFDF,2,DEPOT FARHAT HACHED,05:44,05:44,05:44
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,105,Q SFDF,3,Jebel Jelloud,05:46,05:47,05:47
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,105,Q SFDF,4,MEGRINE RYADH,05:49,05:49,05:49
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,105,Q SFDF,5,MEGRINE,05:50,05:51,05:51
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,105,Q SFDF,6,SIDI REZIG,05:52,05:53,05:53
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,105,Q SFDF,7,LYCEE TECHNIQUE RADES,05:54,05:55,05:55
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,105,Q SFDF,8,Rades,05:56,05:57,05:57
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,105,Q SFDF,9,RADES MELIANE,05:59,06:00,06:00
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,105,Q SFDF,10,EZ-ZAHRA,06:02,06:03,06:03
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,105,Q SFDF,11,LYCEE EZZAHRA,06:05,06:05,06:05
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,105,Q SFDF,12,BOU KORNINE,06:06,06:07,06:07
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,105,Q SFDF,13,Hammam Lif,06:08,06:09,06:09
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,105,Q SFDF,14,ARRET DU STADE,06:11,06:12,06:12
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,105,Q SFDF,15,TAHAR SFAR,06:13,06:14,06:14
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,105,Q SFDF,16,HAMMAM CHAT,06:16,06:17,06:17
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,105,Q SFDF,17,BIR EL BEY,06:18,06:19,06:19
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,105,Q SFDF,18,Borj Cedria,06:21,06:22,06:22
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,105,Q SFDF,19,Erriadh,06:26,,06:26
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,106,Q,1,Erriadh,,05:00,05:00
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,106,Q,2,Borj Cedria,05:04,05:05,05:05
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,106,Q,3,BIR EL BEY,05:07,05:08,05:08
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,106,Q,4,HAMMAM CHAT,05:09,05:09,05:09
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,106,Q,5,TAHAR SFAR,05:11,05:11,05:11
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,106,Q,6,ARRET DU STADE,05:13,05:13,05:13
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,106,Q,7,Hammam Lif,05:15,05:16,05:16
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,106,Q,8,BOU KORNINE,05:18,05:18,05:18
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,106,Q,9,LYCEE EZZAHRA,05:19,05:20,05:20
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,106,Q,10,EZ-ZAHRA,05:21,05:22,05:22
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,106,Q,11,RADES MELIANE,05:24,05:24,05:24
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,106,Q,12,Rades,05:26,05:27,05:27
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,106,Q,13,SIDI REZIG,05:30,05:31,05:31
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,106,Q,14,MEGRINE,05:32,05:33,05:33
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,106,Q,15,MEGRINE RYADH,05:34,05:34,05:34
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,106,Q,16,Jebel Jelloud,05:36,05:36,05:36
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,106,Q,17,DEPOT FARHAT HACHED,05:38,05:39,05:39
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,106,Q,18,Tunis Ville,05:43,,05:43
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,107,Q,1,Tunis Ville,,06:00,06:00
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,107,Q,2,DEPOT FARHAT HACHED,06:04,06:04,06:04
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,107,Q,3,Jebel Jelloud,06:06,06:07,06:07
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,107,Q,4,MEGRINE RYADH,06:09,06:09,06:09
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,107,Q,5,MEGRINE,06:10,06:11,06:11
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,107,Q,6,SIDI REZIG,06:13,06:13,06:13
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,107,Q,7,LYCEE TECHNIQUE RADES,06:15,06:15,06:15
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,107,Q,8,Rades,06:17,06:18,06:18
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,107,Q,9,RADES MELIANE,06:20,06:20,06:20
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,107,Q,10,EZ-ZAHRA,06:22,06:23,06:23
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,107,Q,11,LYCEE EZZAHRA,06:25,06:26,06:26
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,107,Q,12,BOU KORNINE,06:27,06:28,06:28
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,107,Q,13,Hammam Lif,06:29,06:32,06:32
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,107,Q,14,ARRET DU STADE,06:34,06:34,06:34
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,107,Q,15,TAHAR SFAR,06:36,06:36,06:36
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,107,Q,16,HAMMAM CHAT,06:38,06:38,06:38
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,107,Q,17,BIR EL BEY,06:39,06:40,06:40
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,107,Q,18,Borj Cedria,06:42,06:43,06:43
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,107,Q,19,Erriadh,06:47,,06:47
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,108,Q SFDF,1,Erriadh,,05:20,05:20
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,108,Q SFDF,2,Borj Cedria,05:24,05:25,05:25
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,108,Q SFDF,3,BIR EL BEY,05:27,05:28,05:28
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,108,Q SFDF,4,HAMMAM CHAT,05:29,05:29,05:29
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,108,Q SFDF,5,TAHAR SFAR,05:31,05:31,05:31
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,108,Q SFDF,6,ARRET DU STADE,05:33,05:34,05:34
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,108,Q SFDF,7,Hammam Lif,05:36,05:37,05:37
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,108,Q SFDF,8,BOU KORNINE,05:38,05:39,05:39
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,108,Q SFDF,9,LYCEE EZZAHRA,05:40,05:40,05:40
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,108,Q SFDF,10,EZ-ZAHRA,05:42,05:43,05:43
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,108,Q SFDF,11,RADES MELIANE,05:45,05:45,05:45
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,108,Q SFDF,12,Rades,05:47,05:48,05:48
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,108,Q SFDF,13,SIDI REZIG,05:51,05:52,05:52
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,108,Q SFDF,14,MEGRINE,05:53,05:54,05:54
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,108,Q SFDF,15,MEGRINE RYADH,05:55,05:55,05:55
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,108,Q SFDF,16,Jebel Jelloud,05:57,05:57,05:57
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,108,Q SFDF,17,DEPOT FARHAT HACHED,05:59,06:00,06:00
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,108,Q SFDF,18,Tunis Ville,06:04,,06:04
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,109,Q SFDF,1,Tunis Ville,,06:20,06:20
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,109,Q SFDF,2,DEPOT FARHAT HACHED,06:24,06:24,06:24
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,109,Q SFDF,3,Jebel Jelloud,06:26,06:27,06:27
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,109,Q SFDF,4,MEGRINE RYADH,06:28,06:29,06:29
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,109,Q SFDF,5,MEGRINE,06:30,06:31,06:31
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,109,Q SFDF,6,SIDI REZIG,06:32,06:33,06:33
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,109,Q SFDF,7,LYCEE TECHNIQUE RADES,06:34,06:35,06:35
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,109,Q SFDF,8,Rades,06:36,06:37,06:37
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,109,Q SFDF,9,RADES MELIANE,06:39,06:40,06:40
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,109,Q SFDF,10,EZ-ZAHRA,06:42,06:43,06:43
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,109,Q SFDF,11,LYCEE EZZAHRA,06:45,06:45,06:45
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,109,Q SFDF,12,BOU KORNINE,06:46,06:47,06:47
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,109,Q SFDF,13,Hammam Lif,06:48,06:49,06:49
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,109,Q SFDF,14,ARRET DU STADE,06:51,06:52,06:52
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,109,Q SFDF,15,TAHAR SFAR,06:53,06:54,06:54
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,109,Q SFDF,16,HAMMAM CHAT,06:55,06:56,06:56
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,109,Q SFDF,17,BIR EL BEY,06:58,06:58,06:58
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,109,Q SFDF,18,Borj Cedria,07:01,07:02,07:02
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,109,Q SFDF,19,Erriadh,07:06,,07:06
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,110,Q DF,1,Erriadh,,05:30,05:30
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,110,Q DF,2,Borj Cedria,05:34,05:34,05:34
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,110,Q DF,3,BIR EL BEY,05:37,05:37,05:37
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,110,Q DF,4,HAMMAM CHAT,05:38,05:39,05:39
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,110,Q DF,5,TAHAR SFAR,05:40,05:41,05:41
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,110,Q DF,6,ARRET DU STADE,05:42,05:43,05:43
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,110,Q DF,7,Hammam Lif,05:45,05:46,05:46
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,110,Q DF,8,BOU KORNINE,05:47,05:48,05:48
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,110,Q DF,9,LYCEE EZZAHRA,05:49,05:49,05:49
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,110,Q DF,10,EZ-ZAHRA,05:51,05:51,05:51
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,110,Q DF,11,RADES MELIANE,05:53,05:54,05:54
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,110,Q DF,12,Rades,05:56,05:57,05:57
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,110,Q DF,13,LYCEE TECHNIQUE RADES,05:58,05:59,05:59
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,110,Q DF,14,SIDI REZIG,06:00,06:01,06:01
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,110,Q DF,15,MEGRINE,06:02,06:03,06:03
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,110,Q DF,16,MEGRINE RYADH,06:04,06:04,06:04
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,110,Q DF,17,Jebel Jelloud,06:06,06:06,06:06
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,110,Q DF,18,DEPOT FARHAT HACHED,06:08,06:09,06:09
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Erriadh → Tunis Ville,110,Q DF,19,Tunis Ville,06:13,,06:13
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,111,Q DF,1,Tunis Ville,,06:30,06:30
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,111,Q DF,2,Jebel Jelloud,,06:36,06:36
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,111,Q DF,3,MEGRINE RYADH,06:37,06:38,06:38
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,111,Q DF,4,MEGRINE,06:39,06:40,06:40
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,111,Q DF,5,SIDI REZIG,06:42,06:42,06:42
